,random10,random20,RNNTestcov10,RNNTestcov20,Stellarbscov10,Stellarbscov20,Stellarbtcov10,Stellarbtcov20,testRNNsc10,testRNNsc20,testRNNsc_cam10,testRNNsc_cam20,nc_ctm10,nc_ctm20,nc_cam10,nc_cam20,state_w10,state_w20,dis_w10,dis_w20
0,0.14,0.1075,0.11,0.13,0.095,0.09,0.115,0.095,0.105,0.1025,0.105,0.11,0.09,0.1075,0.16,0.135,0.28,0.255,0.44,0.35
1,0.1,0.1325,0.075,0.0825,0.11,0.1125,0.06,0.0875,0.09,0.09,0.11,0.125,0.085,0.0925,0.145,0.1325,0.315,0.26,0.405,0.3325
2,0.12,0.105,0.105,0.1,0.075,0.1,0.11,0.0775,0.075,0.0875,0.11,0.1225,0.085,0.09,0.135,0.1275,0.31,0.275,0.44,0.3375
3,0.12,0.1225,0.105,0.1125,0.09,0.09,0.095,0.0875,0.075,0.0775,0.16,0.0925,0.055,0.0825,0.09,0.12,0.31,0.285,0.455,0.3475
4,0.11,0.125,0.1,0.11,0.125,0.1375,0.12,0.1225,0.145,0.125,0.09,0.125,0.14,0.115,0.135,0.125,0.29,0.285,0.45,0.3475
5,0.12,0.1375,0.075,0.105,0.11,0.1025,0.115,0.1,0.115,0.1225,0.175,0.09,0.115,0.125,0.115,0.145,0.335,0.285,0.48,0.36
6,0.125,0.1175,0.08,0.0975,0.105,0.1125,0.105,0.0925,0.12,0.1075,0.07,0.1025,0.095,0.1,0.105,0.1225,0.35,0.28,0.42,0.345
7,0.085,0.0875,0.09,0.105,0.105,0.095,0.09,0.1025,0.125,0.1025,0.12,0.0775,0.11,0.115,0.13,0.11,0.305,0.285,0.44,0.36
8,0.16,0.105,0.075,0.095,0.09,0.09,0.07,0.0725,0.07,0.0875,0.12,0.1,0.05,0.0775,0.07,0.0925,0.295,0.2675,0.435,0.35
9,0.065,0.095,0.09,0.1225,0.135,0.1075,0.1,0.105,0.105,0.0975,0.125,0.1025,0.09,0.1,0.125,0.1175,0.335,0.2825,0.45,0.3475
10,0.145,0.1125,0.11,0.1475,0.085,0.1025,0.105,0.09,0.1,0.1,0.115,0.1125,0.105,0.095,0.125,0.125,0.34,0.2775,0.52,0.37
11,0.18,0.1325,0.085,0.1325,0.11,0.1125,0.13,0.095,0.135,0.1,0.085,0.1075,0.12,0.1025,0.135,0.125,0.345,0.2975,0.465,0.3925
12,0.135,0.145,0.085,0.1025,0.105,0.11,0.11,0.09,0.115,0.11,0.11,0.1025,0.115,0.11,0.14,0.11,0.37,0.31,0.445,0.36
13,0.1,0.1025,0.105,0.135,0.075,0.09,0.08,0.0775,0.09,0.0925,0.055,0.1175,0.1,0.09,0.13,0.145,0.32,0.26,0.445,0.34
14,0.12,0.1175,0.1,0.095,0.11,0.1125,0.115,0.105,0.12,0.1075,0.09,0.085,0.085,0.1075,0.14,0.1275,0.27,0.2775,0.46,0.365
15,0.105,0.1075,0.105,0.105,0.115,0.1125,0.08,0.0875,0.11,0.1025,0.12,0.115,0.105,0.0975,0.125,0.1275,0.305,0.26,0.405,0.33
16,0.11,0.1,0.095,0.105,0.1,0.105,0.09,0.09,0.105,0.1,0.1,0.1125,0.09,0.1025,0.155,0.125,0.29,0.265,0.45,0.3325
17,0.13,0.1075,0.055,0.09,0.095,0.11,0.1,0.105,0.12,0.1175,0.15,0.13,0.115,0.12,0.13,0.1425,0.325,0.2875,0.455,0.3425
18,0.11,0.135,0.075,0.1075,0.085,0.1075,0.09,0.095,0.12,0.105,0.12,0.105,0.115,0.11,0.165,0.1225,0.32,0.2775,0.465,0.345
19,0.105,0.0975,0.12,0.1075,0.1,0.1,0.09,0.0975,0.105,0.0975,0.145,0.13,0.115,0.1025,0.12,0.1325,0.31,0.28,0.455,0.3575
20,0.055,0.1225,0.07,0.105,0.105,0.1075,0.105,0.11,0.1,0.1025,0.125,0.1025,0.105,0.11,0.18,0.1075,0.305,0.27,0.4,0.3425
21,0.135,0.1375,0.095,0.125,0.1,0.1,0.095,0.0825,0.095,0.1,0.12,0.1025,0.095,0.1075,0.135,0.1475,0.33,0.275,0.475,0.36
22,0.11,0.11,0.085,0.1,0.085,0.1025,0.105,0.105,0.13,0.12,0.125,0.1075,0.12,0.1275,0.135,0.14,0.295,0.275,0.42,0.3375
23,0.14,0.1275,0.05,0.11,0.07,0.08,0.075,0.07,0.095,0.0925,0.115,0.11,0.105,0.1025,0.07,0.1125,0.295,0.2825,0.435,0.3525
24,0.085,0.1125,0.07,0.1275,0.115,0.1075,0.1,0.095,0.095,0.105,0.14,0.13,0.075,0.1025,0.145,0.1275,0.35,0.28,0.5,0.3625
25,0.13,0.12,0.1,0.115,0.12,0.125,0.08,0.105,0.15,0.1275,0.155,0.13,0.145,0.13,0.11,0.1275,0.335,0.285,0.48,0.3725
26,0.115,0.1025,0.085,0.1025,0.095,0.085,0.095,0.08,0.105,0.1,0.12,0.1,0.1,0.095,0.135,0.1225,0.3,0.2525,0.455,0.34
27,0.165,0.1,0.08,0.0925,0.08,0.0975,0.095,0.0875,0.085,0.0875,0.065,0.1,0.075,0.095,0.11,0.1175,0.31,0.2375,0.42,0.32
28,0.08,0.1175,0.075,0.115,0.135,0.125,0.085,0.1,0.125,0.11,0.155,0.11,0.11,0.11,0.12,0.1125,0.3,0.2725,0.46,0.3625
29,0.125,0.16,0.09,0.1175,0.13,0.13,0.105,0.1125,0.13,0.12,0.115,0.1525,0.13,0.13,0.125,0.145,0.33,0.29,0.48,0.38
