,random10,random20,RNNTestcov10,RNNTestcov20,Stellarbscov10,Stellarbscov20,Stellarbtcov10,Stellarbtcov20,testRNNsc10,testRNNsc20,testRNNsc_cam10,testRNNsc_cam20,nc_ctm10,nc_ctm20,nc_cam10,nc_cam20,state_w10,state_w20,dis_w10,dis_w20
0,0.135,0.1075,0.12,0.1175,0.095,0.1175,0.095,0.1225,0.105,0.1275,0.15,0.155,0.1,0.1125,0.145,0.1275,0.365,0.31,0.435,0.3725
1,0.105,0.1425,0.12,0.1,0.085,0.09,0.1,0.1075,0.115,0.1,0.1,0.1175,0.08,0.08,0.14,0.1,0.295,0.275,0.39,0.305
2,0.14,0.135,0.14,0.145,0.065,0.085,0.085,0.095,0.075,0.0825,0.135,0.1375,0.065,0.07,0.14,0.1125,0.325,0.27,0.47,0.375
3,0.125,0.115,0.125,0.115,0.07,0.085,0.075,0.0975,0.08,0.1025,0.135,0.135,0.075,0.075,0.14,0.11,0.365,0.3,0.38,0.35
4,0.09,0.135,0.13,0.12,0.09,0.0875,0.08,0.0975,0.09,0.1025,0.125,0.11,0.09,0.0825,0.13,0.135,0.325,0.2775,0.41,0.33
5,0.11,0.12,0.135,0.1275,0.09,0.0875,0.1,0.1,0.09,0.1025,0.135,0.1425,0.085,0.0775,0.075,0.14,0.375,0.3075,0.465,0.3775
6,0.125,0.1025,0.11,0.1225,0.09,0.09,0.11,0.1025,0.09,0.095,0.13,0.115,0.085,0.08,0.12,0.1075,0.27,0.255,0.39,0.335
7,0.11,0.11,0.14,0.1425,0.07,0.0725,0.065,0.0825,0.07,0.0825,0.13,0.1275,0.055,0.06,0.11,0.1175,0.33,0.285,0.39,0.335
8,0.18,0.1375,0.095,0.1275,0.09,0.0925,0.085,0.0925,0.1,0.095,0.095,0.1125,0.07,0.0675,0.105,0.12,0.365,0.29,0.46,0.365
9,0.135,0.1175,0.125,0.095,0.065,0.085,0.09,0.0975,0.08,0.09,0.125,0.135,0.065,0.075,0.105,0.1325,0.345,0.3,0.41,0.355
10,0.125,0.1275,0.145,0.125,0.09,0.1075,0.11,0.1175,0.11,0.12,0.12,0.1475,0.09,0.09,0.105,0.1175,0.405,0.31,0.435,0.365
11,0.085,0.11,0.14,0.135,0.065,0.085,0.095,0.0775,0.09,0.1,0.085,0.0975,0.085,0.07,0.1,0.085,0.32,0.2725,0.455,0.35
12,0.15,0.1275,0.105,0.145,0.13,0.1075,0.12,0.1175,0.11,0.12,0.175,0.14,0.105,0.1,0.15,0.1175,0.365,0.325,0.445,0.385
13,0.125,0.11,0.13,0.12,0.07,0.07,0.075,0.075,0.07,0.08,0.105,0.16,0.065,0.06,0.13,0.13,0.3,0.2575,0.405,0.34
14,0.15,0.1625,0.14,0.1425,0.09,0.1,0.105,0.11,0.11,0.11,0.115,0.1225,0.095,0.0975,0.085,0.1125,0.355,0.29,0.42,0.345
15,0.14,0.1275,0.13,0.105,0.1,0.105,0.1,0.11,0.13,0.1125,0.135,0.115,0.1,0.0875,0.16,0.13,0.335,0.29,0.425,0.37
16,0.15,0.1225,0.115,0.11,0.08,0.09,0.07,0.0875,0.08,0.1075,0.11,0.12,0.09,0.0825,0.14,0.1325,0.38,0.315,0.445,0.3925
17,0.12,0.13,0.135,0.1525,0.11,0.11,0.115,0.1175,0.11,0.105,0.115,0.125,0.085,0.085,0.135,0.115,0.36,0.3,0.42,0.3475
18,0.125,0.1625,0.105,0.1225,0.085,0.0875,0.115,0.1175,0.1,0.105,0.1,0.1125,0.095,0.085,0.11,0.125,0.29,0.2775,0.395,0.345
19,0.085,0.1425,0.15,0.1025,0.085,0.085,0.105,0.0975,0.1,0.1025,0.125,0.1275,0.085,0.08,0.12,0.1125,0.345,0.305,0.47,0.365
20,0.1,0.115,0.125,0.1225,0.075,0.0925,0.09,0.0975,0.09,0.1,0.14,0.1275,0.085,0.0775,0.125,0.0975,0.3,0.2575,0.42,0.32
21,0.12,0.1125,0.11,0.13,0.105,0.1075,0.1,0.11,0.105,0.115,0.15,0.1475,0.09,0.0875,0.125,0.1325,0.36,0.315,0.445,0.3575
22,0.125,0.1075,0.115,0.135,0.08,0.0925,0.11,0.11,0.1,0.1075,0.125,0.14,0.07,0.0725,0.165,0.1475,0.33,0.29,0.44,0.355
23,0.145,0.1375,0.1,0.0975,0.11,0.09,0.08,0.095,0.095,0.105,0.115,0.115,0.085,0.0825,0.095,0.1125,0.35,0.305,0.35,0.33
24,0.14,0.14,0.13,0.1125,0.09,0.09,0.09,0.1025,0.105,0.1,0.155,0.105,0.085,0.0925,0.105,0.1,0.32,0.285,0.46,0.37
25,0.125,0.1375,0.11,0.13,0.115,0.1125,0.1,0.115,0.1,0.115,0.14,0.1075,0.1,0.0875,0.125,0.1475,0.345,0.2975,0.44,0.355
26,0.1,0.115,0.15,0.1625,0.06,0.065,0.1,0.1,0.1,0.105,0.145,0.1325,0.08,0.0825,0.11,0.12,0.34,0.29,0.4,0.3475
27,0.105,0.1225,0.12,0.14,0.075,0.085,0.07,0.105,0.08,0.0875,0.135,0.12,0.08,0.075,0.115,0.14,0.285,0.2575,0.415,0.3425
28,0.13,0.1475,0.15,0.135,0.11,0.13,0.13,0.11,0.125,0.1125,0.14,0.1325,0.095,0.095,0.125,0.1225,0.395,0.325,0.43,0.375
29,0.16,0.135,0.115,0.135,0.11,0.12,0.115,0.1025,0.11,0.1175,0.165,0.095,0.095,0.095,0.12,0.1325,0.34,0.2925,0.47,0.395
