,news,label,Unnamed: 0
0,"Forget those chariots, this was Rowing Boats Of Fire. The heart-stopping, edge-of-the-seat, photo finish victory for the men #39;s coxless four was without a doubt one of the Great British Sporting Moments.",2,
1,Shawn Crawford of the United States left the baseball cap at home and no longer needed the showy sunglasses he wore in Saturday morning #39;s first heat.,2,
2,"When Percy Montgomery sent his third and last penalty of the afternoon sailing between the uprights to take South Africa out to 23-7 after 63 minutes, it seemed safe to contemplate the remarkable idea that South Africa were to be Tri Nations champions.",2,
3,"For the first time in 20 years, an American woman did not win gold in the 100m dash. On Saturday that honor went to Yuliya Nesterenko of Belarus.",2,
4,Shawn Green hit a grand slam in the first inning and a solo homer in the third to lead the Dodgers to a 7-4 victory Saturday against the Atlanta Braves ,2,
5,US forces launched a fresh assault on Shi #39;ite rebels in the embattled Iraqi city of Najaf on Sunday after talks on transferring control of the mosque at the center of a two-week siege ran into difficulties.,1,
6,The Sudanese government and the UN migration agency here Saturday signed an agreement ensuring right of return of Darfur displaced.,1,
7,"Four people were wounded on Saturday when two bombs exploded at the tourist localities of Sanjenjo and Baiona, in Galicia, north Spain.",1,
8,Israeli troops spotted a Palestinian in the security zone about 50 meters from the fence separating Gaza from Israel and shot him dead early yesterday.,1,
9,"The Great Lakes region, which has paid Africa #39;s highest price in human lives and destruction from ethnic conflict, could soon be plunged again into wholesale war as a result of the recent massacre of 160 Congolese Tutsis in Burundi by Hutu militias.",1,
10,"IN LIFE he was feared and revered, but in death the father of Chinas 20-year economic miracle and crusher of Tiananmen Square had assumed iconic status.",1,
11,"Last week as Bobby Fischer languished in a detention centre in Japan, his new fiancee announced their impending nuptials. Andrew Alderson reports on the latest twist in the bizarre life ",1,
12,"British Airways PLC reached a pay accord early Saturday with two unions, averting a planned strike during the Aug. 27-30 holiday weekend by 11,000 baggage handlers and check-in workers.",3,
13,AP - Detroit Tigers right-hander Jason Johnson left his start Saturday against the Seattle Mariners with a strained left hip.,2,
14,Reuters - UPDATE 3-Pakistan arrests up to 10 al Qaeda suspects,1,
15,AP - Sen. John Kerry's campaign released a video Saturday comparing the controversy over Kerry's Vietnam service to attacks on John McCain during the 2000 Republican primaries.,1,
16," WASHINGTON (Reuters) - The chief executive of McDonald's  Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MCD.N target=/stocks/quickinfo/fullquote""&gt;MCD.N&lt;/A&gt; is recuperating after another surgery, the  world's largest fast-food company said on Saturday.",3,
17,"PUNTA GORDA, Fla. - Hundreds of local residents and some from across the nation have turned out to provide a vast array of free aid since Hurricane Charley ravaged the area on Aug...",1,
18,"NAJAF, Iraq - Militants loyal to radical Shiite cleric Muqtada al-Sadr kept their hold on a revered shrine, and clashes flared in Najaf on Saturday, raising fears that a resolution to the crisis in the holy city could collapse amid bickering between Shiite leaders.    An unofficial mediator pleaded with al-Sadr to disarm his militants, pull them out of the shrine and disband his militia immediately...",1,
19,Manny Ramirez homered and drove in five runs as the Boston Red Sox beat the Chicago White Sox 10-7 Saturday for their fifth straight win.,2,
20,"Lleyton Hewitt advanced to the finals of the Legg Mason Tennis Classic with a 6-3, 6-4 win over Robby Ginepri on Saturday.",2,
21,"Quarterback Aaron Polanco took a brutal hit in the back during Navy's scrimmage, symbolizing the Mids' mediocre offensive effort Saturday.",2,
22,"F you #39;re worried about the nation #39;s energy future, you can take heart in the positions of both major parties #39; presidential candidates.",3,
23,"n American Paul Hamm, who become the first American to win the Olympics mens all-around gymnastics title, should not have been awarded the gold, the sports governing body ruled on Saturday.",2,
24,Spanish international Vicente Rodriguez struck from a 62nd-minute free kick Saturday to earn Valencia a 1-0 victory over Zaragoza in the first leg of the Spanish Supercup.,2,
25,AP - Indianapolis Colts wide receiver Troy Walters broke his left arm on the first series of Saturday night's preseason game against the New York Jets.,2,
26,"AP - The Milwaukee Bucks acquired Maurice ""Mo"" Williams after the Utah Jazz did not match the offer sheet the guard signed on Aug. 6.",2,
27,AP - Esteban Loaiza is pitching his way out of the New York Yankees' rotation.,2,
28," WASHINGTON (Reuters) - The chief executive of McDonald's  Corp. is recuperating after another surgery, the world's  largest fast-food company said on Saturday.",3,
29,"AP - Presidential candidate John Kerry may have won a few votes during his tour of neighborhoods devastated by Hurricane Charley, but he said  #151; as any politician must  #151; that strengthening support in a battleground state was not the reason for his visit.",1,
30,"AP - It may fall a shade shy of catching thieves red-handed, but for farmers fed up with methamphetamine cooks filching their fertilizer, staining them pink will do just fine.",4,
31, ATHENS (Reuters) - Nicolas Massu and Fernando Gonzalez won  Chile's first gold medal at an Olympics in a five-set tennis  marathon that ended at 2:37 a.m. on Sunday.,2,
32,Paris confirms two French journalists are missing in Iraq as concern grows for the safety of an Italian.,1,
33,"Shawn Green hit two home runs Saturday, including a grand slam, to lead the Los Angeles Dodgers to a 7-4 victory over the Atlanta Braves.",2,
34,"AP - Dustan Mohr allowed two runs to score when he dropped a fly ball in the 12th inning, and the New York Mets overcame a shaky return by Tom Glavine and a team-record six double plays to beat the San Francisco Giants 11-9 Saturday.",2,
35," MOSCOW (Reuters) - Gunmen attacked a police station and  voting centers in Russia's war-torn Chechnya, killing at least  11 people, Interfax news agency said Saturday.",1,
36,"The relationship between President Bush and Wall Street has always been a tangled one, layered with paradox and outright contradiction.",3,
37,"Seeking to establish the medium as a mass market form of entertainment instead of a niche technology, the game industry has taken the playbook of the movie business.",3,
38,"HEN investors consider the bond market these days, the low level of interest rates should be more cause for worry than for gratitude.",3,
39,Australian Lleyton Hewitt eased into the final of the Washington Classic on Saturday with a 6-3 6-4 victory over fourth-seeded American Robby Ginepri.,2,
40,The pressure on IRL IndyCar Series championship leaders Tony Kanaan and Buddy Rice is beginning to increase with the end of the 2004 season just eight weeks -- or five races -- away.,2,
41,At least 12 people were killed and 100 wounded in a bomb attack yesterday on an opposition rally in Bangladesh #39;s capital Dhaka.,1,
42,"On the coast of the Japan Sea, two and a half hours by train from Kyoto, is the quiet fishing village of Mihama. Noted for its harbour and beautiful beaches, it draws tourists from all over the country.",1,
43,"Reuters - If there were any doubts that we're\still living in the era of the stay-at-home economy, the rows\of empty seats at the Athens Olympics should help erase them.",3,
